"","Cemex","GCC","Cementos Moctezuma","CETES28","ICA"
"1",26.1170642620418,52.2691242762259,27.9860430130945,7.01530834656092,40.2810658899485
"2",27.2589356037959,52.2700973856924,28.0840998872004,7.0253703850803,40.4796351654576
"3",27.2844991375389,52.8206085733731,28.2531369250446,7.05533823037158,40.7016618187194
"4",28.4266177686914,53.8201205168169,29.5872215748216,7.065288247247,41.0925696005594
"5",28.1890617328619,53.3204258822053,31.0124910539072,7.05529673231182,40.2823846596772
"6",28.5912782737429,54.3197320068513,32.6924983614055,7.05532547413614,41.1280610399787
"7",28.8085691513651,55.3180387873745,31.9089023622418,7.03545107039997,43.3193547519862
"8",25.9767086530299,52.3201259058151,30.062346228953,7.03559751367205,39.7735354196188
"9",27.0631159759107,52.1226473032739,31.3821495998472,7.05568887624817,40.1188193384443
"10",25.9985782563575,52.125365420433,31.465839503731,7.05580199529438,39.7114643185957
"11",27.0543638220838,54.3156646435224,31.178704245758,7.0559373034218,43.0465994227879
"12",25.9278498722522,57.3225659236471,31.5748619941948,7.04613356198125,42.5995795850526
"13",25.7657668315881,58.3184705446668,31.9822089981364,7.03639152154161,44.3246973620022
"14",27.2733193109734,58.0648702081437,31.8010623226884,7.02671216864034,44.2838450989788
"15",27.0552655330897,59.3099699661293,31.8006826881879,7.00713497343639,45.2860927294
"16",25.5679124591855,59.2553208749895,31.9786129659818,7.00758506513926,43.9049396176517
"17",27.0485393509511,62.2972152613248,32.1920101143134,7.00806416507426,41.4927558166421
"18",27.2712813867581,63.2880991716261,33.1748205527588,7.25761800850429,43.6332905236143
"19",27.6844037870937,63.6686963811663,33.8449343526384,7.24723923003471,46.0595750801667
"20",28.0845777086895,69.2527748053273,33.0380644533682,7.23692638106968,46.3523371146376
"21",31.0636008449426,78.5358928230948,32.1983877230607,7.24660177739328,48.2975488467503
"22",31.2032250460253,78.6090440613595,32.2341259546747,7.22637890923524,47.9638444323302
"23",32.1978609916817,81.1792243632993,33.3118660793387,7.21621868038122,50.1083043708804
"24",30.5723737987608,80.3504797087162,34.057787169325,7.20612047805389,53.6158419995801
"25",29.182805531172,79.1232702650736,34.7043832138621,7.18612217056951,54.7219876137412
"26",29.3811135224513,80.0949497520111,35.8768579511065,7.19610903276077,60.3257288644666
